Designation,NGS Site ID  ,Site Number,Latitude,Longitude,Ellipsoid Height,Antenna Type,Position Source,Location
Albany,NYAB,49,42.71357589,-73.81625045,90.067,LEIAR10 NONE ,NGS,"{'longitude': '-73.81625045', 'needs_recoding': False, 'latitude': '42.71357589'}"
Batavia ,NYBT,7,42.98832225,-78.12232646,262.231,LEIAR10 NONE,NGS,"{'longitude': '-78.12232646', 'needs_recoding': False, 'latitude': '42.98832225'}"
Binghamton EM ,NYBH,12,42.10974923,-75.8274175,313.08,LEIAR10 NONE,NGS,"{'longitude': '-75.8274175', 'needs_recoding': False, 'latitude': '42.10974923'}"
Central Islip ,NYCI,16,40.76062135,-73.19771869,-13.871,LEIAR10 NONE,NGS,"{'longitude': '-73.19771869', 'needs_recoding': False, 'latitude': '40.76062135'}"
Cobleskill  ,NYCS,47,42.66745457,-74.4863744,270.673,LEIAT504GG LEIS,NGS,"{'longitude': '-74.4863744', 'needs_recoding': False, 'latitude': '42.66745457'}"
Coopers Plains ,NYCP,11,42.18790143,-77.14342459,277.623,LEIAR10 NONE,NGS,"{'longitude': '-77.14342459', 'needs_recoding': False, 'latitude': '42.18790143'}"
Cortland  ,NYCL,31,42.58436311,-76.21133127,330.883,LEIAR10 NONE,NGS,"{'longitude': '-76.21133127', 'needs_recoding': False, 'latitude': '42.58436311'}"
Dansville  ,NYDV,33,42.54891483,-77.69794321,188.572,LEIAR20 LEIM,NGS,"{'longitude': '-77.69794321', 'needs_recoding': False, 'latitude': '42.54891483'}"
Elizabethtown  ,NYET,28,44.20968078,-73.54051453,174.246,LEIAR10 NONE,NGS,"{'longitude': '-73.54051453', 'needs_recoding': False, 'latitude': '44.20968078'}"
Fredonia  ,NYFD,17,42.42827376,-79.33964421,212.489,LEIAT504 LEIS,NGS,"{'longitude': '-79.33964421', 'needs_recoding': False, 'latitude': '42.42827376'}"
Friendship  ,NYFS,10,42.20466469,-78.143872,442.549,LEIAT504 LEIS,NGS,"{'longitude': '-78.143872', 'needs_recoding': False, 'latitude': '42.20466469'}"
Fultonville ,NYFV,9,42.9391661,-74.35333714,104.67,LEIAT504 LEIS,NGS,"{'longitude': '-74.35333714', 'needs_recoding': False, 'latitude': '42.9391661'}"
Hailesboro ,NYHL,45,44.30876322,-75.44935816,117.574,LEIAT504GG LEIS,NGS,"{'longitude': '-75.44935816', 'needs_recoding': False, 'latitude': '44.30876322'}"
Hamburg  ,NYHB,8,42.71740646,-78.84646479,212.494,LEIAR20 LEIM,NGS,"{'longitude': '-78.84646479', 'needs_recoding': False, 'latitude': '42.71740646'}"
Hancock  ,NYHC,30,41.95832826,-75.29274337,260.699,LEIAR10 NONE,NGS,"{'longitude': '-75.29274337', 'needs_recoding': False, 'latitude': '41.95832826'}"
Herkimer  ,NYHM,24,43.01841639,-74.99585653,95.282,LEIAR10 NONE,NGS,"{'longitude': '-74.99585653', 'needs_recoding': False, 'latitude': '43.01841639'}"
Hudson ,NYHS,22,42.25232206,-73.75754453,22.061,LEIAR10 NONE,NGS,"{'longitude': '-73.75754453', 'needs_recoding': False, 'latitude': '42.25232206'}"
Hudson Falls  ,NYHF,1,43.31767434,-73.56871369,64.573,LEIAR10 NONE,LSA,"{'longitude': '-73.56871369', 'needs_recoding': False, 'latitude': '43.31767434'}"
Indian Lake  ,NYIL,46,43.78267732,-74.27773943,501.878,LEIAT504GG LEIS ,NGS,"{'longitude': '-74.27773943', 'needs_recoding': False, 'latitude': '43.78267732'}"
Jamaica  ,NYJM,55,40.66279309,-73.80708014,-12.589,LEIAX1202GG NONE,LSA,"{'longitude': '-73.80708014', 'needs_recoding': False, 'latitude': '40.66279309'}"
Kingston  ,NYKT,14,41.93693654,-74.03117179,30.345,LEIAR10 NONE,NGS,"{'longitude': '-74.03117179', 'needs_recoding': False, 'latitude': '41.93693654'}"
Lake Carmel ,NYLC,20,41.48107668,-73.65149134,202.093,LEIAR10 NONE,NGS,"{'longitude': '-73.65149134', 'needs_recoding': False, 'latitude': '41.48107668'}"
Lockport  ,NYLP,35,43.16523741,-78.75371025,166.286,LEIAR10 NONE,NGS,"{'longitude': '-78.75371025', 'needs_recoding': False, 'latitude': '43.16523741'}"
Lowville  ,NYLV,26,43.79645644,-75.48543182,241.554,LEIAR10 NONE,NGS,"{'longitude': '-75.48543182', 'needs_recoding': False, 'latitude': '43.79645644'}"
Malone  ,NYML,27,44.87094026,-74.2881509,195.213,LEIAR10 NONE,NGS,"{'longitude': '-74.2881509', 'needs_recoding': False, 'latitude': '44.87094026'}"
Mexico  ,NYMX,29,43.47010528,-76.23191284,91.143,LEIAR10 NONE,NGS,"{'longitude': '-76.23191284', 'needs_recoding': False, 'latitude': '43.47010528'}"
Middletown  ,NYMD,21,41.40681173,-74.44279946,128.211,LEIAR10 NONE,NGS,"{'longitude': '-74.44279946', 'needs_recoding': False, 'latitude': '41.40681173'}"
Monticello  ,NYMO,42,41.64600105,-74.66227248,400.175,LEIAT504GG LEIS,LSA,"{'longitude': '-74.66227248', 'needs_recoding': False, 'latitude': '41.64600105'}"
Newburgh  ,NYNB,39,41.49522384,-74.02554806,23.184,LEIAT504GG LEIS,NGS,"{'longitude': '-74.02554806', 'needs_recoding': False, 'latitude': '41.49522384'}"
North Syracuse  ,NYNS,5,43.11881887,-76.14160347,98.577,LEIAR10 NONE,LSA,"{'longitude': '-76.14160347', 'needs_recoding': False, 'latitude': '43.11881887'}"
Oakwood Beach  ,NYOB,59,40.55154305,-74.11657419,-11.917,LEIAX1202GG NONE,LSA,"{'longitude': '-74.11657419', 'needs_recoding': False, 'latitude': '40.55154305'}"
